2024-12-22 13:31:51,138 INFO package: mysql.connector.plugins
2024-12-22 13:31:51,138 INFO plugin_name: caching_sha2_password
2024-12-22 13:31:51,138 INFO AUTHENTICATION_PLUGIN_CLASS: MySQLCachingSHA2PasswordAuthPlugin
2024-12-22 13:32:26,186 INFO Block IDs to ignore: {17962373, 17963269, 19409169, 12884626, 22920853, 17962399, 17962292, 17962807, 19394871, 19394874, 22526909, 12884542, 18913349, 12884556, 14909406, 17962862, 19952369, 19938035, 17962356, 17962997, 17962233, 21726719}
2024-12-22 13:32:26,186 INFO Processing batch from block_id 0 to 1000000
2024-12-22 13:32:27,216 INFO Processing batch from block_id 1000000 to 2000000
2024-12-22 13:32:27,728 INFO Processing batch from block_id 2000000 to 3000000
2024-12-22 13:32:28,236 INFO Processing batch from block_id 3000000 to 4000000
2024-12-22 13:32:28,472 INFO Processing batch from block_id 4000000 to 5000000
2024-12-22 13:32:29,604 INFO Block ID: 5900986, Extrinsic Index: 11, Event Index: 52, Transaction: {'from': '12662tJjo9LbE3aXRYLEsJ9z2pwJ7nMptrBDhh1Yvxdv1v8o', 'to': '14KFpWkocrwoFonGfSm2u9KzbMeFtEp9qGhAfeu5s2PhPa7K', 'amount': 1.0009}
2024-12-22 13:32:29,605 INFO Block ID: 5900986, Extrinsic Index: 12, Event Index: 57, Transaction: {'from': '1269F6cwDpnBB1EvdwsY6fqMx9wBgrK1q8XPCpHB633MjhJg', 'to': '14KFpWkocrwoFonGfSm2u9KzbMeFtEp9qGhAfeu5s2PhPa7K', 'amount': 1.0009}
2024-12-22 13:32:29,605 INFO Block ID: 5900986, Extrinsic Index: 13, Event Index: 62, Transaction: {'from': '126biEsZ16tCRPoj5Ey8meTvxUG1YohjM3vY6aeDn8xEXrER', 'to': '14KFpWkocrwoFonGfSm2u9KzbMeFtEp9qGhAfeu5s2PhPa7K', 'amount': 1.0009}
2024-12-22 13:32:29,607 INFO Block ID: 5900986, Extrinsic Index: 14, Event Index: 67, Transaction: {'from': '126mXyYCBb8RPCzqRtcLeprq7xzvd3bDcdb41DNAYd3Sxey8', 'to': '14KFpWkocrwoFonGfSm2u9KzbMeFtEp9qGhAfeu5s2PhPa7K', 'amount': 1.0009}
2024-12-22 13:32:29,607 INFO Block ID: 5900986, Extrinsic Index: 15, Event Index: 72, Transaction: {'from': '126oCybaKwLuTA8kH9aVtpZoHct66NLnyDdFXfqQA3QAgKgh', 'to': '14KFpWkocrwoFonGfSm2u9KzbMeFtEp9qGhAfeu5s2PhPa7K', 'amount': 1.0009}
2024-12-22 13:32:29,609 INFO Block ID: 5900986, Extrinsic Index: 16, Event Index: 77, Transaction: {'from': '126qQwinrwm2oCyELNekYLXEqiUX4fCYbTsdaxguh6HpGptp', 'to': '14KFpWkocrwoFonGfSm2u9KzbMeFtEp9qGhAfeu5s2PhPa7K', 'amount': 1.0009}
2024-12-22 13:32:29,610 INFO Block ID: 5900986, Extrinsic Index: 17, Event Index: 82, Transaction: {'from': '126un4TSbzzf9TTmjFCDDHF1crrRWqqkH4VPyqePHWNyrbTx', 'to': '14KFpWkocrwoFonGfSm2u9KzbMeFtEp9qGhAfeu5s2PhPa7K', 'amount': 1.0009}
2024-12-22 13:32:29,611 INFO Block ID: 5900986, Extrinsic Index: 18, Event Index: 87, Transaction: {'from': '126V2s6cze1Jp9avsHxrf1jdvWiPr8kaD9eBHRqYckfJDxsg', 'to': '14KFpWkocrwoFonGfSm2u9KzbMeFtEp9qGhAfeu5s2PhPa7K', 'amount': 1.0009}
2024-12-22 13:32:29,611 INFO Block ID: 5900987, Extrinsic Index: 2, Event Index: 8, Transaction: {'from': '1273cm5pKLvUFDTMXXq6bxee7FpYfSqjApjDRNUpmWfK2hfF', 'to': '14KFpWkocrwoFonGfSm2u9KzbMeFtEp9qGhAfeu5s2PhPa7K', 'amount': 1.0009}
2024-12-22 13:32:29,614 INFO Block ID: 5900987, Extrinsic Index: 3, Event Index: 13, Transaction: {'from': '128ovde2fTKHWyzvgD83jtA9xSp2QnEJXZGD49dPtSW1QDDr', 'to': '14KFpWkocrwoFonGfSm2u9KzbMeFtEp9qGhAfeu5s2PhPa7K', 'amount': 1.0009}
